"","Latitude","Longitude","Place","As","Cr","Zn"
"226",37.59677,-121.63026,"San Jose",6.6,135,127
"227",37.04769,-121.28999,"San Jose",6.2,58,62
"228",37.57079,-121.68951,"San Jose",11.3,136,80
"229",37.9603,-121.86264,"San Jose",8.3,31,42
"230",34.8137,-120.41969,"Santa Maria",2.1,13,10
"231",37.10857,-120.94639,"San Jose",8.2,131,96
"232",34.86377,-120.34891,"Santa Maria",3.2,76,30
"233",34.86724,-120.6122,"Santa Maria",7,134,62
"234",37.66268,-122.11712,"San Francisco",4.4,154,271
"235",37.37773,-121.28495,"San Jose",13.6,51,87
"236",37.40272,-121.47342,"San Jose",1.1,759,98
"237",34.82786,-119.75403,"Los Angeles",6.1,31,64
"238",38.00826,-122.21756,"Santa Rosa",11.3,42,48
"239",34.93617,-119.16631,"Los Angeles",3.3,10,41
"240",37.83946,-121.72588,"San Jose",8.1,47,68
"241",37.16102,-121.08027,"San Jose",7.3,39,58
"242",34.88414,-119.38418,"Los Angeles",7.9,89,52
"243",37.66254,-121.83554,"San Jose",4.9,77,40
"244",34.1644,-118.49055,"Los Angeles",28.4,80,901
"245",37.30215,-121.79027,"San Jose",16.8,193,78
"246",37.99388,-122.32338,"San Francisco",7.6,58,221
"247",34.92016,-119.78018,"Los Angeles",25.8,20,54
"248",34.55276,-120.56106,"Santa Maria",6.6,66,68
"249",37.84003,-122.03936,"San Francisco",3.3,26,37
"250",34.44487,-119.53799,"Los Angeles",6.9,80,81
"251",37.23597,-121.26809,"San Jose",9.4,124,79
"252",34.62947,-120.27287,"Santa Maria",2.6,70,24
"253",37.92809,-122.15836,"San Francisco",4.6,45,77
"254",37.79066,-121.80817,"San Jose",5.9,56,56
"255",34.80951,-120.20214,"Santa Maria",3,40,34
"256",32.65582,-115.69208,"El Centro",3.3,5,30
"257",32.70439,-115.10224,"El Centro",3.7,7,33
"258",32.91449,-114.87329,"El Centro",14.1,20,41
"259",32.78877,-114.76487,"El Centro",3.1,6,34
"260",32.98214,-115.42312,"El Centro",4.8,12,69
"261",34.99121,-120.19031,"Santa Maria",7.7,38,74
"262",34.66822,-119.95995,"Los Angeles",6.3,530,58
"263",32.83794,-115.22657,"El Centro",3,4,21
"264",32.83602,-115.60216,"El Centro",4.5,9,36
"265",32.75212,-115.5462,"El Centro",5.3,21,55
"266",32.77572,-114.98967,"El Centro",2.7,5,24
"267",34.62434,-120.13245,"Santa Maria",2.9,91,32
"268",34.6245,-120.61999,"Santa Maria",4.3,29,147
"269",32.69039,-115.36211,"El Centro",5.9,12,42
"270",32.98269,-115.35253,"El Centro",5.9,13,39
"271",34.63615,-120.59057,"Santa Maria",4.2,73,88
"272",34.77942,-120.1326,"Santa Maria",4.9,35,40
"273",32.70068,-115.42536,"El Centro",3.4,9,33
