"","Latitude","Longitude","Place","As","Cr","Zn"
"2406",34.0543,-115.7609,"Needles",NA,62,73
"2614",34.1184,-114.4537,"Needles",NA,67,59
"4741",39.02021,-122.14355,"Ukiah",6.7,303,69
"4416",41.80362,-120.47984,"Alturas",4.6,75,96
"240",37.83946,-121.72588,"San Jose",8.1,47,68
"3087",34.5297,-116.7625,"San Bernardino",NA,58,89
"3744",34.0478,-117.244,"San Bernardino",NA,69,150
"1023",36.6477,-120.1511,"Monterey",2.2,19,49
"3354",34.4304,-117.1724,"San Bernardino",NA,48,100
"2895",34.6003,-117.7533,"San Bernardino",NA,48,62
"3328",34.3282,-117.4389,"San Bernardino",NA,30,36
"2137",34.6691,-114.6485,"Needles",NA,48,130
"2321",34.4739,-114.5379,"Needles",NA,120,97
"3183",34.6159,-116.4294,"San Bernardino",NA,58,90
"2211",34.3113,-115.7031,"Needles",NA,40,76
"250",34.44487,-119.53799,"Los Angeles",6.9,80,81
"889",35.6726,-116.8571,"Trona",7.1,44,71
"3158",34.6846,-116.4323,"San Bernardino",NA,60,210
"1403",35.468,-115.4879,"Kingman",NA,61,82
"1802",34.9948,-115.6794,"Needles",NA,42,100
"1655",35.0345,-115.3633,"Kingman",NA,49,71
"555",34.54024,-116.19566,"San Bernardino",5.8,59,72
"2470",34.1091,-115.4721,"Needles",NA,37,60
"16",33.9379,-115.97038,"Salton Sea",2.2,48,114
"620",36.1135,-118.90879,"Fresno",1.1,44,77
"5007",40.2154,-123.641,"Redding",8.2,158,104
"3887",34.1189,-116.483,"San Bernardino",NA,7,54
"2465",34.0858,-115.5438,"Needles",NA,47,59
"1730",35.0854,-115.7791,"Kingman",NA,29,46
"3566",34.4904,-116.172,"San Bernardino",NA,96,83
"2403",34.1229,-115.9866,"Needles",NA,120,59
"3981",36.22651,-119.60547,"Fresno",4,55,80
"2363",34.3358,-114.3176,"Needles",NA,63,82
"806",33.26269,-115.92141,"Salton Sea",2.7,3,26
"4894",38.5972,-122.993,"Santa Rosa",6.7,60,89
"1260",36.3343,-119.2726,"Fresno",5,37,146
"1781",35.7396,-115.8289,"Kingman",NA,33,56
"647",35.13776,-119.93845,"Bakersfield",6.7,29,46
"2336",34.2898,-114.5619,"Needles",NA,57,88
"4596",40.62349,-121.0347,"Susanville",3.5,112,125
"750",34.66926,-115.9344,"Needles",3.4,24,54
"210",34.46501,-118.71774,"Los Angeles",3.3,13,31
"653",35.26327,-120.88671,"San Luis Obispo",6.6,80,72
